user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_001,images/sample/case_001/img_1.jpg,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",car,False,"The customer reported a new dent on the back of the car, specifically in the rear bumper area, and provided a photo as evidence, which meets the requi",manual_review_required,unknown,unknown,not_enough_information,"The customer reported a new dent on the back of the car, specifically in the rear bumper area, and provided a photo as evidence, which meets the required evidence standard for visibility and inspectability of the claimed condition.",none,True,unknown
user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",car,False,"Image 2 is of a different car and does not show any damage. Image 1 shows damage to the claimed part, but the type and severity of damage contradict the user's claim of a 'scratch'.",damage_not_visible;claim_mismatch;wrong_object,dent,front_bumper,contradicted,"Image 1 shows significant damage to the front bumper, including a large dent and broken parts, which is more severe than a 'scratch' as claimed. Image 2 shows a completely different car with no visible damage.",none,False,high
user_003,images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg,"Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.",car,True,"Image 2 provides a clear and sufficiently detailed view of the car's door panel, clearly showing the claimed dent and associated damage.",blurry_image;wrong_object,dent,door,supported,"Image 2 clearly shows a significant dent on the rear door panel of the car, corroborating the customer's claim of a dent on the door panel area. Associated scratches are also visible.",img_2,True,medium
user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",car,False,"The submitted images are contradictory, with one showing severe windshield damage and the other showing no damage, rendering the evidence unreliable for the claim.",blurry_image;damage_not_visible;wrong_object;claim_mismatch;manual_review_required,glass_shatter,windshield,contradicted,"Image 2 clearly shows an intact windshield with no damage, directly contradicting the user's claim of a crack. Image 1 shows extensive glass shattering, which is a more severe issue than 'a crack spreading'.",none,False,unknown
user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",car,True,"Both images provide clear views of the rear of the car, including the bumper area and adjacent parts, sufficient for inspection.",user_history_risk;claim_mismatch,scratch,rear_bumper,contradicted,"Image 2, showing the full rear bumper, contradicts the claim of 'pretty bad' bumper damage; the bumper appears largely intact. Image 1 shows minor scratches/scuffs on the adjacent fender/quarter panel, not the primary rear bumper.",img_1;img_2,True,low
user_006,images/sample/case_006/img_1.jpg,"Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.",car,False,"The customer reported a small bump and later noticed the headlight might be cracked, indicating a potentially minor damage that can be visually inspec",manual_review_required,unknown,headlight,not_enough_information,"The customer reported a small bump and later noticed the headlight might be cracked, indicating a potentially minor damage that can be visually inspected.",none,True,unknown
user_007,images/sample/case_004/img_1.jpg,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",car,False,"The customer reported that only the side mirror was damaged and it's not sitting properly, with no other major damage noticed on the door or other par",manual_review_required,unknown,unknown,not_enough_information,"The customer reported that only the side mirror was damaged and it's not sitting properly, with no other major damage noticed on the door or other parts of the car.",none,True,unknown
user_008,images/sample/case_008/img_1.jpg,"Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.",car,False,"The image shows severe, extensive damage to the car's front and hood, making it impossible to identify or inspect the specific minor scratch claimed by the user.",damage_not_visible;claim_mismatch,broken_part,hood,contradicted,"The image displays a car with severe frontal impact damage, including a heavily deformed hood and multiple broken parts, which directly contradicts the claim of a mere scratch on the hood.",img_1,True,high
user_009,images/sample/case_009/img_1.jpg,"Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.",laptop,False,The customer has provided a clear description of the incident and its impact on the laptop's screen. The claim is supported by a photo of the cracked ,manual_review_required,unknown,unknown,not_enough_information,"The customer has provided a clear description of the incident and its impact on the laptop's screen. The claim is supported by a photo of the cracked display glass, which helps to verify the issue. The fact that the laptop turns on suggests that the damage is limited to the screen, thus the issue type is accidental damage and the affected part is the display glass. The severity is moderate because the laptop still functions, but the cracked screen affects its usability.",none,True,unknown
user_010,images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg,"Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.",laptop,True,"Image 1 clearly displays the damaged hinge area, showing internal components and a detached screen bezel, fulfilling the evidence requirements.",none,broken_part,hinge,supported,"Image 1 clearly shows significant damage to the laptop's hinge area, with the screen bezel detached and internal components exposed, consistent with a broken hinge.",img_1,True,high
